seed,commissioning_n,selection_rank,sample_nr,label,label_name,unique_label_count,labels_json,has_single_label,row_count,first_global_row,last_global_row,contiguous_segment_count,rows_are_contiguous,first_timestamp,last_timestamp,minimum_timestamp,maximum_timestamp,duration_seconds,timestamp_decrease_count,timestamp_equal_count,positive_delta_count,timestamps_monotonic_nondecreasing,mean_positive_delta_seconds,std_positive_delta_seconds,minimum_positive_delta_seconds,maximum_positive_delta_seconds,estimated_sampling_rate_hz,runtime_state_count,runtime_states_json,exclusion_reason,protocol_eligible,partition
10,10,1,3630,0,normal_tightening,1,[0],True,1746,5509395,5511140,1,True,17239.69,17257.14,17239.69,17257.14,17.45,0,0,1745,True,0.01,0.0,0.0099999999984,0.010000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,10,2,1159,0,normal_tightening,1,[0],True,1684,1793854,1795537,1,True,7836.904,7853.804,7836.904,7853.804,16.9,0,0,1683,True,0.0100415923945,0.000943151986627,0.00999999999749,0.04,99.5857988166,3,"[0, 1, 2]",,True,commissioning
10,10,3,1376,0,normal_tightening,1,[0],True,1662,2133639,2135300,1,True,8422.064,8439.074,8422.064,8439.074,17.01,0,0,1661,True,0.0102408187839,0.0016828047182,0.0099999999984,0.0399999999991,97.6484420929,3,"[0, 1, 2]",,True,commissioning
10,10,4,3926,0,normal_tightening,1,[0],True,1541,5979960,5981500,1,True,2613.5,2628.9,2613.5,2628.9,15.4,0,0,1540,True,0.01,0.0,0.00999999999976,0.0100000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,10,5,3998,0,normal_tightening,1,[0],True,1713,6092940,6094652,1,True,19383.341,19400.461,19383.341,19400.461,17.12,0,0,1712,True,0.01,5.20625146455e-10,0.00999999999476,0.0100000000057,100.0,3,"[0, 1, 2]",,True,commissioning
10,10,6,513,0,normal_tightening,1,[0],True,1368,805151,806518,1,True,6355.685,6369.355,6355.685,6369.355,13.67,0,0,1367,True,0.01,0.0,0.00999999999749,0.0100000000029,100.0,3,"[0, 1, 2]",,True,commissioning
10,10,7,687,0,normal_tightening,1,[0],True,1526,1070104,1071629,1,True,14771.041,14786.311,14771.041,14786.311,15.27,0,0,1525,True,0.0100131147541,0.000361905435499,0.0099999999984,0.0200000000023,99.8690242305,3,"[0, 1, 2]",,True,commissioning
10,10,8,1388,0,normal_tightening,1,[0],True,1704,2153803,2155506,1,True,8624.684,8641.714,8624.684,8641.714,17.03,0,0,1703,True,0.01,6.78812141396e-10,0.0099999999984,0.010000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,10,9,3454,0,normal_tightening,1,[0],True,1753,5245658,5247410,1,True,1017.704,1035.224,1017.704,1035.224,17.52,0,0,1752,True,0.01,1.51787009211e-09,0.00999999999976,0.0100000000004,100.0,3,"[0, 1, 2]",,True,commissioning
10,10,10,2468,0,normal_tightening,1,[0],True,1477,3830444,3831920,1,True,9512.339,9527.099,9512.339,9527.099,14.76,0,0,1476,True,0.01,0.0,0.0099999999984,0.0100000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,1,3630,0,normal_tightening,1,[0],True,1746,5509395,5511140,1,True,17239.69,17257.14,17239.69,17257.14,17.45,0,0,1745,True,0.01,0.0,0.0099999999984,0.010000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,2,1159,0,normal_tightening,1,[0],True,1684,1793854,1795537,1,True,7836.904,7853.804,7836.904,7853.804,16.9,0,0,1683,True,0.0100415923945,0.000943151986627,0.00999999999749,0.04,99.5857988166,3,"[0, 1, 2]",,True,commissioning
10,25,3,1376,0,normal_tightening,1,[0],True,1662,2133639,2135300,1,True,8422.064,8439.074,8422.064,8439.074,17.01,0,0,1661,True,0.0102408187839,0.0016828047182,0.0099999999984,0.0399999999991,97.6484420929,3,"[0, 1, 2]",,True,commissioning
10,25,4,3926,0,normal_tightening,1,[0],True,1541,5979960,5981500,1,True,2613.5,2628.9,2613.5,2628.9,15.4,0,0,1540,True,0.01,0.0,0.00999999999976,0.0100000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,5,3998,0,normal_tightening,1,[0],True,1713,6092940,6094652,1,True,19383.341,19400.461,19383.341,19400.461,17.12,0,0,1712,True,0.01,5.20625146455e-10,0.00999999999476,0.0100000000057,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,6,513,0,normal_tightening,1,[0],True,1368,805151,806518,1,True,6355.685,6369.355,6355.685,6369.355,13.67,0,0,1367,True,0.01,0.0,0.00999999999749,0.0100000000029,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,7,687,0,normal_tightening,1,[0],True,1526,1070104,1071629,1,True,14771.041,14786.311,14771.041,14786.311,15.27,0,0,1525,True,0.0100131147541,0.000361905435499,0.0099999999984,0.0200000000023,99.8690242305,3,"[0, 1, 2]",,True,commissioning
10,25,8,1388,0,normal_tightening,1,[0],True,1704,2153803,2155506,1,True,8624.684,8641.714,8624.684,8641.714,17.03,0,0,1703,True,0.01,6.78812141396e-10,0.0099999999984,0.010000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,9,3454,0,normal_tightening,1,[0],True,1753,5245658,5247410,1,True,1017.704,1035.224,1017.704,1035.224,17.52,0,0,1752,True,0.01,1.51787009211e-09,0.00999999999976,0.0100000000004,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,10,2468,0,normal_tightening,1,[0],True,1477,3830444,3831920,1,True,9512.339,9527.099,9512.339,9527.099,14.76,0,0,1476,True,0.01,0.0,0.0099999999984,0.0100000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,11,831,0,normal_tightening,1,[0],True,1334,1293803,1295136,1,True,1821.92,1835.25,1821.92,1835.25,13.33,0,0,1333,True,0.01,1.27526595608e-09,0.00999999999999,0.0100000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,12,697,0,normal_tightening,1,[0],True,1978,1086179,1088156,1,True,15226.424,15246.194,15226.424,15246.194,19.77,0,0,1977,True,0.01,1.12266870693e-09,0.00999999999658,0.0100000000039,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,13,803,0,normal_tightening,1,[0],True,1643,1250623,1252265,1,True,17322.267,17338.697,17322.267,17338.697,16.43,0,0,1642,True,0.010006090134,0.000246706810005,0.00999999999476,0.0200000000004,99.9391357273,2,"[1, 2]",,True,commissioning
10,25,14,2780,0,normal_tightening,1,[0],True,1483,4312347,4313829,1,True,9176.214,9191.034,9176.214,9191.034,14.82,0,0,1482,True,0.01,0.0,0.0099999999984,0.0100000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,15,3658,0,normal_tightening,1,[0],True,1692,5553526,5555217,1,True,17681.0,17697.91,17681.0,17697.91,16.91,0,0,1691,True,0.01,3.49245965481e-10,0.00999999999476,0.0100000000057,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,16,1243,0,normal_tightening,1,[0],True,1794,1925965,1927758,1,True,9720.115,9738.045,9720.115,9738.045,17.93,0,0,1793,True,0.01,1.03472201355e-09,0.0099999999984,0.0100000000002,100.0,2,"[1, 2]",,True,commissioning
10,25,17,80,0,normal_tightening,1,[0],True,1720,123434,125153,1,True,22419.39,22436.76,22419.39,22436.76,17.37,0,0,1719,True,0.0101047120419,0.00101791738717,0.0099999999984,0.0200000000004,98.96373057,3,"[0, 1, 2]",,True,commissioning
10,25,18,1627,0,normal_tightening,1,[0],True,1266,2520810,2522075,1,True,4168.941,4181.591,4168.941,4181.591,12.65,0,0,1265,True,0.01,0.0,0.0099999999984,0.0100000000011,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,19,3294,0,normal_tightening,1,[0],True,1471,5008498,5009968,1,True,10466.24,10481.32,10466.24,10481.32,15.08,0,0,1470,True,0.0102585034014,0.00225903608177,0.0099999999984,0.0499999999993,97.4801061008,2,"[1, 2]",,True,commissioning
10,25,20,3456,0,normal_tightening,1,[0],True,1764,5249134,5250897,1,True,1052.464,1070.094,1052.464,1070.094,17.63,0,0,1763,True,0.01,1.52232786997e-09,0.00999999999976,0.0100000000004,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,21,789,0,normal_tightening,1,[0],True,1310,1229403,1230712,1,True,17105.797,17119.667,17105.797,17119.667,13.87,0,0,1309,True,0.0105958747135,0.00314352593873,0.00999999999476,0.0400000000009,94.3763518385,3,"[0, 1, 2]",,True,commissioning
10,25,22,845,0,normal_tightening,1,[0],True,1853,1315494,1317346,1,True,2039.06,2057.63,2039.06,2057.63,18.57,0,0,1852,True,0.0100269978402,0.000518892588458,0.00999999999976,0.0200000000002,99.7307485191,2,"[1, 2]",,True,commissioning
10,25,23,2570,0,normal_tightening,1,[0],True,1487,3996987,3998473,1,True,24319.354,24334.214,24319.354,24334.214,14.86,0,0,1486,True,0.01,6.16011980703e-10,0.0099999999984,0.010000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,24,537,0,normal_tightening,1,[0],True,1223,839905,841127,1,True,6703.285,6715.505,6703.285,6715.505,12.22,0,0,1222,True,0.01,0.0,0.00999999999749,0.0100000000029,100.0,3,"[0, 1, 2]",,True,commissioning
10,25,25,1735,0,normal_tightening,1,[0],True,1603,2685435,2687037,1,True,15615.004,15631.034,15615.004,15631.034,16.03,0,0,1602,True,0.0100062421973,0.000249765905426,0.00999999999658,0.0200000000004,99.9376169682,3,"[0, 1, 2]",,True,commissioning
10,50,1,3630,0,normal_tightening,1,[0],True,1746,5509395,5511140,1,True,17239.69,17257.14,17239.69,17257.14,17.45,0,0,1745,True,0.01,0.0,0.0099999999984,0.010000000002,100.0,3,"[0, 1, 2]",,True,commissioning
10,50,2,1159,0,normal_tightening,1,[0],True,1684,1793854,1795537,1,True,7836.904,7853.804,7836.904,7853.804,16.9,0,0,1683,True,0.0100415923945,0.000943151986627,0.00999999999749,0.04,99.5857988166,3,"[0, 1, 2]",,True,commissioning
