signal_index,signal_name,sample_count,nan_count,inf_count,unique_count,constant,minimum,maximum,mean,standard_deviation,range,range_robust_z_vs_target_healthy,total_variation,total_variation_robust_z_vs_target_healthy,maximum_absolute_jump,maximum_jump_robust_z_vs_target_healthy,start_end_difference
0,robot_voltage,1055,0,0,6,False,48.49949646,48.6034851074,48.5596620243,0.0124037047042,0.103988647461,0,9.44216918945,-0.638990289659,0.0623931884766,0,0
1,robot_current,1055,0,0,202,False,0.0146483331919,4.46774148941,0.960764014813,0.738778610227,4.45309315622,-0.429220568668,245.41816894,-0.268436569495,1.12792176008,-0.867199707127,0.615229964256
2,io_current,1055,0,0,7,False,0.0732416659594,0.161131665111,0.0896672311552,0.00696762892859,0.0878899991512,0.674489750196,4.61422630399,-0.674490436328,0.0732416734099,0.674489750196,0.0146483406425
3,system_current,1055,0,0,28,False,0,0.483394980431,0.272458990236,0.0693954819556,0.483394980431,0.674489750196,71.7182351351,-2.51964552658,0.292966648936,-1.68622437549,0
4,motor_position_1,1055,0,0,841,False,-0.349325954914,1.09599292278,0.561376472732,0.627716290548,1.4453188777,-0.817363510131,2.89314422011,1.37385742413,0.0244010537863,-0.87728234973,-1.05798244476e-05
5,motor_velocity_1,1055,0,0,914,False,-2.17754983902,2.2462785244,-0.000348794014958,0.631205096288,4.42382836342,-0.387381934562,10.3054655097,0.939107272656,0.0513524860144,-1.20061895469,-7.23456480139e-09
6,joint_position_1,1055,0,0,725,False,-0.349397599697,1.09404242039,0.560041272216,0.626857594744,1.44344002008,-0.797179740956,2.89379060268,0.403344723973,0.0244478583336,-0.780650021325,-4.19616699219e-05
7,joint_velocity_1,1055,0,0,1055,False,-2.17052102089,2.24728441238,0.000112799530645,0.629663462478,4.41780543327,-0.803828927708,11.628947226,0.884649591941,0.060564994812,-0.488313811619,0.000199155532755
8,motor_torque_1,1055,0,0,1000,False,-45.7252616882,51.0258598328,-0.0457858490577,15.0807623209,96.751121521,-0.26404673058,1299.24213731,-1.91046058384,11.0228672028,-1.30700983402,-1.19177246094
9,torque_sensor_a_1,1055,0,0,531,False,-13.0505657196,15.1602020264,0.162067796382,4.4061920925,28.210767746,1.05670239201,467.721951485,-0.525915953675,4.78034424782,-1.04106055783,2.36772918701
10,torque_sensor_b_1,1055,0,0,491,False,-12.1829185486,14.7654724121,0.14908878792,4.35535204412,26.9483909607,-0.309901281876,452.777880549,-1.01303684912,5.43459177017,-0.198380589581,2.40289831161
11,motor_iq_1,1055,0,0,1000,False,-3.17127418518,3.68984985352,0.0119325531761,1.02735080298,6.8611240387,-0.0147235373273,103.931618065,-1.44109295072,1.01310896128,-0.19807061321,-0.0788587927818
12,motor_id_1,1055,0,0,1001,False,-0.317671328783,0.323461771011,-0.00275385090277,0.0434663090542,0.641133099794,-0.379604603134,30.136640508,-1.16469501768,0.459554597735,-0.882131235997,0.0117209949531
13,power_motor_el_1,1055,0,0,1055,False,-4.66894626617,109.842628479,6.88729569335,17.9802260274,114.511574745,-0.765488570323,1223.94595139,-0.912516123526,34.5247879028,0.478227633744,-0.138522833586
14,power_motor_mech_1,1055,0,0,914,False,-7.71857357025,107.317687988,5.87998151529,17.7485702608,115.036261559,-0.272854465728,887.32129764,-1.25967921598,24.3006973267,-1.18768639858,-4.48293085431e-08
15,power_load_mech_1,1055,0,0,1055,False,-27.8968791962,30.9646701813,0.32257672583,5.74799108615,58.8615493774,0.999548575491,293.496088314,0.504900262391,10.7525747418,-1.02543406528,0.00281758281926
16,motor_voltage_1,1055,0,0,1055,False,-26.6427955627,27.4013690948,0.0375771886576,7.78666068632,54.0441646576,0.0787472006945,278.385272108,0.742989944601,2.83922719955,-0.647196280341,-0.204757928848
17,supply_voltage_1,1055,0,0,12,False,47.5023612976,47.723487854,47.6608761033,0.0338424112756,0.221126556396,0,14.4742507935,-0.770962120113,0.0603103637695,-0.674489750196,-0.0402069091797
18,brake_voltage_1,1055,0,0,136,False,9.72964286804,12.3228731155,11.0457988504,0.250773012104,2.5932302475,0.809382580477,260.850744247,1.34457890609,1.70871925354,0.224837027327,-0.120616912842
19,motor_position_2,1055,0,0,824,False,1.20333707333,1.58300793171,1.38577201717,0.111683910851,0.379670858383,1.40257768983,1.14455640316,5.3109611815,0.00940990447998,0.369360255205,-0.0131999254227
20,motor_velocity_2,1055,0,0,929,False,-0.742100656033,0.837024986744,-0.00118959994374,0.209639517214,1.57912564278,-0.834607279185,7.69466286876,-0.555226004787,0.0580201148987,-0.738536155905,0.3193795681
21,joint_position_2,1055,0,0,755,False,1.20142197609,1.5821428299,1.38433216861,0.112023522043,0.380720853806,1.38388736897,1.15118861198,5.1173916233,0.00956344604492,0.384559827724,-0.0131945610046
22,joint_velocity_2,1055,0,0,1055,False,-0.760848343372,0.837756812572,-0.00128820190686,0.210539598509,1.59860515594,-0.631953076115,8.71157423158,-1.05058885055,0.0632190704346,-0.275911829807,0.327154887374
23,motor_torque_2,1055,0,0,1011,False,1.29090452194,122.602828979,61.8609520494,20.2402035811,121.311924458,2.20765044834,1461.9507885,-0.963660774134,14.3818092346,-0.517253596644,5.99052810669
