seed,split,position,episode_id,is_anomaly,category,setting
0,source_train,0,755,0,12,72
0,source_train,1,756,0,12,72
0,source_train,2,757,0,12,72
0,source_train,3,758,0,12,72
0,source_train,4,759,0,12,72
0,source_train,5,760,0,12,72
0,source_train,6,761,0,12,72
0,source_train,7,762,0,12,72
0,source_train,8,763,0,12,72
0,source_train,9,764,0,12,72
0,source_train,10,765,0,12,72
0,source_train,11,766,0,12,72
0,source_train,12,767,0,12,72
0,source_train,13,768,0,12,72
0,source_train,14,769,0,12,72
0,source_train,15,770,0,12,72
0,source_train,16,771,0,12,72
0,source_train,17,772,0,12,72
0,source_train,18,773,0,12,72
0,source_train,19,774,0,12,72
0,source_train,20,775,0,12,72
0,source_train,21,776,0,12,72
0,source_train,22,777,0,12,72
0,source_train,23,778,0,12,72
0,source_train,24,779,0,12,72
0,source_train,25,780,0,12,72
0,source_train,26,781,0,12,72
0,source_train,27,782,0,12,72
0,source_train,28,783,0,12,72
0,source_train,29,784,0,12,72
0,source_train,30,785,0,12,72
0,source_train,31,786,0,12,72
0,source_train,32,787,0,12,72
0,source_train,33,788,0,12,72
0,source_train,34,789,0,12,72
0,source_train,35,790,0,12,72
0,source_train,36,791,0,12,72
0,source_train,37,792,0,12,72
0,source_train,38,793,0,12,72
0,source_train,39,794,0,12,72
0,source_train,40,795,0,12,72
0,source_train,41,796,0,12,72
0,source_train,42,797,0,12,72
0,source_train,43,798,0,12,72
0,source_train,44,799,0,12,72
0,source_train,45,800,0,12,72
0,source_train,46,801,0,12,72
0,source_train,47,802,0,12,72
0,source_train,48,803,0,12,72
0,source_train,49,804,0,12,72
0,source_train,50,805,0,12,72
0,source_train,51,806,0,12,72
0,source_train,52,807,0,12,72
0,source_train,53,808,0,12,72
0,source_train,54,809,0,12,72
0,source_train,55,810,0,12,72
0,source_train,56,811,0,12,72
0,source_train,57,812,0,12,72
0,source_train,58,813,0,12,72
0,source_train,59,814,0,12,72
0,source_train,60,815,0,12,72
0,source_train,61,816,0,12,72
0,source_train,62,817,0,12,72
0,source_train,63,818,0,12,72
0,source_train,64,819,0,12,72
0,source_train,65,820,0,12,72
0,source_train,66,821,0,12,72
0,source_train,67,822,0,12,72
0,source_train,68,823,0,12,72
0,source_train,69,824,0,12,72
0,source_train,70,825,0,12,72
0,source_train,71,826,0,12,72
0,source_train,72,827,0,12,72
0,source_train,73,828,0,12,72
0,source_train,74,829,0,12,72
0,source_train,75,830,0,12,72
